layer cake,8.844005255914666e-08
limpet ,1.767632102356309e-07
linguine,8.19004628560549e-08
lobster bisque,1.883300210225869e-08
lobster butter,2.6479428111986225e-09
lobster ,2.1415711870531595e-06
lobster roll sandwich,NaN
lobster thermidor,7.569802146223381e-09
lutefisk,1.8557051992273976e-08
macaron,4.451288185269853e-09
macaroni,7.884301540528327e-07
macaroni and cheese,1.7920516626190874e-07
manicotti,2.3236095797463108e-08
marble cake,1.675347746643574e-08
margarine,9.274156482774742e-07
maryland chicken,9.836846961985835e-10
matzo ball,1.084422007052721e-08
meatball,1.1949439898684133e-07
meat loaf ,1.456782652287103e-07
miso soup,4.9785636516141984e-08
moo goo gai pan,5.211578738006928e-09
mostaccioli,5.061624737401349e-09
moussaka,3.4802253426335916e-08
mousse,3.3293152101876444e-07
mussel,5.981639148444629e-07
nacho,1.474466398976304e-07
noodle,6.322442116513116e-07
nut butter,3.034619712460884e-08
omelette,3.382428326315079e-07
onion butter,3.045411693658462e-09
onion rings,8.94236726611819e-08
orzo,5.03306838983697e-08
osso buco,2.0506618708671098e-08
oyster,2.581512354993265e-06
pad thai,3.521122687866196e-08
paella,1.216167947459823e-07
pancake,7.27646436216034e-07
panna cotta,4.064117362090336e-08
pasta,3.0145914973189747e-06
pate,8.630729979586249e-07
pavlova,1.360910482084421e-07
peach melba,1.058557193289733e-08
peanut butter,1.1376127484474807e-06
peking duck,2.933234775209792e-08
penne,1.518086003571284e-07
pepper steak,1.2839236257500275e-08
petit four,6.614532511994842e-09
pho,2.8806447829876625e-07
pie,8.204268510780821e-06
pie crust,1.09030872108562e-07
pilaf,1.0672290484681213e-07
pimento butter,NaN
pirogi,3.863564468353786e-09
pizza,4.653996473535926e-06
poached egg,5.821886739365567e-08
poi,5.053875711258371e-07
pork and beans,6.75104952080341e-08
pork chop,1.1207407310531714e-07
porridge,1.1385681162323635e-06
potpie,2.321601901000836e-08
pound cake,1.2244153002605174e-07
poutine,1.4167022222011383e-08
prime rib,1.1116869591543121e-07
profiterole,2.3327243782456097e-09
prune cake,1.8505189255946242e-09
pudding,3.064315350798097e-06
puff,2.406921481679092e-06
pulled pork sandwich,1.3200612825059466e-09
ramen,1.1072239646664483e-07
ravioli,2.1924975612819253e-07
red velvet cake,1.4621802865710798e-08
refried beans,5.9399399732207314e-08
reuben,2.201936126766668e-06
rigatoni,3.792310138139854e-08
risotto,2.941686247925901e-07
rissole,7.818841130102783e-09
roast,3.7382205082536757e-06
rock cake,1.7282372755111908e-09
roulade,3.2237546562785546e-08
rugulah,NaN
salisbury steak,1.6582774049755944e-08
samosa,2.355443601970153e-08
sashimi,1.1191249366104827e-07
sauerbraten,1.7823587147858255e-08
sauerkraut,3.106875705594092e-07
sausage,2.4482514007218015e-06
sausage roll,1.3712269947979694e-08
savarin,9.348389778951471e-08
scallop,3.6151621718438776e-07
scallopine,1.860121754543309e-09
scampi,8.670512263719843e-08
schnitzel,7.99217916847006e-08
scotch egg,3.377919693958731e-09
scotch woodcock,1.5078847614979907e-09
scrambled eggs,3.4814788296699817e-07
scrapple,2.728477488389558e-08
sea newburg,NaN
seaweed salad,6.6340486090665785e-09
seedcake,7.526446603109416e-09
shirred egg,5.138285248673657e-10
shrimp and grits,7.557017206449856e-09
shrimp butter,1.2529498324281851e-09
sloppy joe,2.3435702579954754e-08
souffle,2.682648445606617e-07
spaghetti and meatballs,3.720339669666117e-08
spaghetti bolognese,1.8476037907944054e-08
spaghetti carbonara,7.045602106944826e-09
spanish rice,1.5653432744455742e-08
spice cake,2.291693398936978e-08
spiny lobster ,3.779365294331871e-08
sponge cake,1.1860864401747051e-07
spring roll,2.083839038651003e-08
steak au poivre,8.812438946972923e-09
steak tartare,1.8771722898325294e-08
stew,2.730304826670249e-06
stew meat,2.1828241547616756e-08
strawberry shortcake,6.043592265525533e-08
streusel,3.503491452505614e-08
strudel,1.0686853013641695e-07
stuffed cabbage,2.7893383047761233e-08
stuffed peppers,2.3768210261065903e-08
stuffed tomato,3.852470752130355e-09
succotash,5.771669342458097e-08
sukiyaki,2.0304141958027433e-08
sushi,9.06366079522769e-07
swiss steak,9.43118352511596e-09
syllabub,4.3259249515870124e-08
taco,5.54981366196472e-07
tagliatelle,3.267077362811843e-08
takoyaki,7.450865202596191e-10
tamale,1.5019056104348394e-07
tamale pie,6.91764383969895e-09
tapenade,5.0480039148759204e-08
tart,1.375417470583784e-06
teacake,1.3013126354266547e-08
tempura,8.956492589251575e-08
tenderloin,3.6563349770091236e-07
terrine,8.541861784561178e-08
tetrazzini,3.8638065469331906e-08
tiramisu,5.945937298079684e-08
toad in the hole,7.31758989513942e-09
torte,9.525900357409967e-08
tortellini,5.3636977637161465e-08
tostada,1.3041326431956213e-08
tuna burger,1.5320957003073232e-09
tuna tartare,7.666645998605226e-09
turnover,7.02694487131339e-06
upside down cake,3.848560872765638e-09
veal cordon bleu,1.4751694588088782e-09
veal parmesan,4.082703970037516e-09
vermicelli,1.2135696059178969e-07
victoria sandwich,9.397123912346927e-10
vol au vent,2.4446290755597566e-09
waffle,3.1778111075908555e-07
welsh rarebit,2.6074532546993545e-08
white cake,3.3142841443511983e-08
wonton,5.4885636563417606e-08
wrap,6.573181948965612e-06
zabaglione,1.8479216462585768e-08
ziti,3.7345871964356014e-08
